,title,artist,year,bpm,energy,danceability,dB,liveness,valence,duration,acousticness,speechiness,popularity,genre
2445,I Like It,Cardi B,2018,136,73,82,-4,37,65,253,10,13,85,pop
2446,First Time,Kygo,2017,90,59,63,-7,10,68,194,20,11,71,edm
2447,Lust for Life (with The Weeknd),Lana Del Rey,2017,100,67,51,-9,36,27,264,58,6,54,art pop
2448,Stay With Me,Sam Smith,2014,84,42,42,-6,11,18,173,59,4,85,pop
2449,DJ Got Us Fallin' In Love (feat. Pitbull),Usher,2010,120,86,66,-3,8,65,221,3,11,52,atl hip hop
2450,Heartbreaker,Justin Bieber,2013,105,52,56,-7,34,58,263,14,10,61,canadian pop
2451,Lips Are Movin,Meghan Trainor,2015,139,83,78,-5,11,95,183,5,5,68,dance pop
2452,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,2019,98,62,86,-6,9,67,204,15,8,92,pop
2453,Focus,Ariana Grande,2015,100,88,67,-6,44,79,211,27,24,66,dance pop
2454,Not a Bad Thing,Justin Timberlake,2014,86,73,59,-6,38,46,266,27,6,0,dance pop
2455,Reality - Radio Edit,Lost Frequencies,2015,122,70,71,-8,7,60,159,2,3,61,belgian edm
2456,Marry You,Bruno Mars,2010,145,83,62,-5,10,48,230,33,4,73,pop
2457,All of Me,John Legend,2014,120,26,42,-7,13,33,270,92,3,86,neo mellow
2458,Rise,Katy Perry,2016,101,64,55,-6,11,44,203,5,5,66,dance pop
2459,Glad You Came,The Wanted,2012,127,85,72,-4,11,45,198,3,6,72,boy band
2460,Cold (feat. Future),Maroon 5,2017,100,72,69,-6,5,41,234,14,11,72,pop
2461,No Guidance (feat. Drake),Chris Brown,2019,93,45,70,-7,16,14,261,12,15,81,dance pop
2462,Sugar (feat. Francesco Yates),Robin Schulz,2015,123,82,64,-5,16,64,219,2,6,60,dance pop
2463,"Celebrate (From the Original Motion Picture ""Penguins of Madagascar"")",Pitbull,2015,127,85,68,-3,6,93,193,1,6,50,dance pop
2464,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,2013,116,81,79,-9,10,86,248,4,4,77,electro
2465,Young Girls,Bruno Mars,2014,126,75,56,-5,21,50,229,46,3,67,pop
2466,Dance Again,Jennifer Lopez,2012,128,86,79,-5,10,71,237,2,7,66,dance pop
2467,Antisocial (with Travis Scott),Ed Sheeran,2019,152,82,72,-5,36,91,162,13,5,78,pop
2468,Want To,Dua Lipa,2018,92,69,57,-5,6,32,212,8,12,67,dance pop
2469,I Love It (feat. Charli XCX),Icona Pop,2013,126,91,71,-3,15,82,157,1,3,67,candy pop
2470,Imma Be,The Black Eyed Peas,2010,92,52,60,-7,31,41,258,18,37,62,dance pop
2471,Bad Romance,Lady Gaga,2010,119,92,70,-4,8,71,295,0,4,79,dance pop
2472,The Greatest,Sia,2017,192,73,67,-6,6,73,210,1,27,76,australian dance
2473,Baby Don't Lie,Gwen Stefani,2015,100,55,69,-5,10,26,203,1,3,52,dance pop
2474,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,2017,81,67,61,-4,17,81,289,6,4,77,dance pop
2475,Filthy,Justin Timberlake,2018,97,58,75,-6,25,65,294,4,14,62,dance pop
2476,Never Forget You,Zara Larsson,2015,146,73,58,-6,27,28,213,0,5,77,dance pop
2477,Without You (feat. Usher),David Guetta,2011,128,61,61,-4,16,40,208,23,3,68,dance pop
2478,Want to Want Me,Jason Derulo,2015,114,68,78,-6,11,66,208,1,6,77,dance pop
2479,Hall of Fame,The Script,2013,85,87,42,-4,12,63,203,7,6,80,celtic rock
2480,Familiar,Liam Payne,2018,93,81,64,-5,8,91,197,2,33,72,dance pop
2481,Can't Remember to Forget You (feat. Rihanna),Shakira,2014,138,81,69,-4,14,82,207,12,7,62,colombian pop
2482,Stronger (What Doesn't Kill You),Kelly Clarkson,2012,116,94,56,-4,11,68,222,5,5,74,dance pop
2483,Closer,The Chainsmokers,2017,95,52,75,-6,11,66,245,41,3,86,electropop
2484,Cannonball,Lea Michele,2014,92,82,56,-3,19,57,215,2,5,37,hollywood
2485,Sexy And I Know It,LMFAO,2011,130,86,71,-4,19,80,199,10,32,67,dance pop
2486,Final Song,MØ,2016,105,67,70,-6,8,25,236,1,3,72,dance pop
2487,Memories,Maroon 5,2019,91,32,76,-7,8,57,189,84,5,99,pop
2488,Run Away With Me,Carly Rae Jepsen,2016,119,72,56,-6,5,25,251,1,5,63,canadian pop
2489,Kill Em With Kindness,Selena Gomez,2016,120,88,76,-5,10,40,218,1,4,70,dance pop
2490,Company,Justin Bieber,2016,95,80,59,-5,8,43,208,13,6,72,canadian pop
2491,Best Song Ever,One Direction,2013,118,88,65,-3,8,49,200,2,5,73,boy band
2492,Last Friday Night (T.G.I.F.),Katy Perry,2011,126,81,65,-4,67,72,231,0,4,27,dance pop
2493,Jar of Hearts,Christina Perri,2011,75,35,35,-6,12,9,247,73,3,50,dance pop
2494,Antisocial (with Travis Scott),Ed Sheeran,2019,152,82,72,-5,36,91,162,13,5,78,pop
2495,Genie In a Bottle,Christina Aguilera,2015,176,80,63,-7,14,91,218,21,16,72,dance pop
2496,Papi,Jennifer Lopez,2011,120,81,71,-5,37,89,223,13,6,58,dance pop
2497,Cooler Than Me - Single Mix,Mike Posner,2010,130,82,77,-5,70,63,213,18,5,73,dance pop
2498,I'm Not The Only One,Sam Smith,2015,82,49,68,-6,8,49,239,53,4,84,pop
2499,no tears left to cry,Ariana Grande,2018,122,71,70,-6,29,35,206,4,6,84,dance pop
2500,Dusk Till Dawn - Radio Edit,ZAYN,2018,180,44,26,-7,11,10,239,10,4,83,dance pop
2501,Perfect,One Direction,2015,100,82,65,-5,12,40,230,6,8,55,boy band
2502,Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,2010,164,41,29,-5,13,7,264,83,3,61,dance pop
2503,Wide Awake,Katy Perry,2012,160,68,51,-5,39,57,221,7,4,68,dance pop
2504,Reality - Radio Edit,Lost Frequencies,2015,122,70,71,-8,7,60,159,2,3,61,belgian edm
2505,Everybody Talks,Neon Trees,2013,155,92,47,-4,31,73,177,0,6,74,indie pop
2506,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,2016,105,59,80,-6,6,59,214,10,4,79,dance pop
2507,Cake By The Ocean,DNCE,2016,119,75,77,-5,4,90,219,15,5,81,dance pop
2508,Electricity (with Dua Lipa),Silk City,2018,118,67,59,-6,34,51,238,1,5,82,edm
2509,Blown,DNCE,2016,130,95,63,-5,10,73,197,0,4,48,dance pop
2510,S&M Remix,Rihanna,2011,128,81,82,-3,5,89,257,5,5,54,barbadian pop
2511,Tonight (I'm Fuckin' You),Enrique Iglesias,2011,126,89,65,-4,12,32,232,3,5,63,dance pop
2512,What's My Name?,Rihanna,2011,100,79,69,-3,8,58,263,23,7,69,barbadian pop
2513,Domino,Jessie J,2012,127,55,76,-5,4,78,232,1,3,69,australian pop
2514,LIKE I WOULD,ZAYN,2016,113,83,56,-6,26,23,192,2,11,65,dance pop
2515,Runnin' (Lose It All),Naughty Boy,2015,139,85,32,-6,48,8,213,1,8,69,tropical house
2516,Shape of You,Ed Sheeran,2017,96,65,83,-3,9,93,234,58,8,87,pop
2517,Pompeii,Bastille,2014,127,72,68,-6,27,57,214,8,4,73,metropopolis
2518,Telephone,Lady Gaga,2010,122,83,83,-6,11,71,221,1,4,73,dance pop
2519,Stronger (What Doesn't Kill You),Kelly Clarkson,2012,116,94,56,-4,11,68,222,5,5,74,dance pop
2520,Send My Love (To Your New Lover),Adele,2016,164,52,69,-8,17,56,223,4,10,61,british soul
2521,Desire,Years & Years,2016,126,78,71,-5,30,64,203,30,6,58,dance pop
2522,Say Something,Justin Timberlake,2018,97,63,71,-7,8,37,279,10,8,74,dance pop
2523,I'm Into You,Jennifer Lopez,2011,84,75,59,-4,8,70,200,2,14,59,dance pop
2524,Take Me To Church,Hozier,2015,129,66,57,-5,12,44,242,63,5,81,irish singer-songwriter
2525,Blurred Lines,Robin Thicke,2013,120,60,85,-5,8,84,264,0,4,76,dance pop
2526,Change,Christina Aguilera,2016,82,54,62,-6,13,20,187,68,8,54,dance pop
2527,Marry You,Bruno Mars,2010,145,83,62,-5,10,48,230,33,4,73,pop
2528,Blah Blah Blah (feat. 3OH!3),Kesha,2010,120,84,75,-3,42,52,172,8,12,62,dance pop
2529,Night Changes,One Direction,2015,120,52,67,-8,12,37,227,86,4,77,boy band
2530,There for You,Martin Garrix,2017,106,64,61,-8,12,13,222,12,6,76,big room
2531,Talk (feat. Disclosure),Khalid,2019,136,40,90,-9,6,35,198,5,13,84,alternative r&b
2532,Young Girls,Bruno Mars,2014,126,75,56,-5,21,50,229,46,3,67,pop
2533,Runnin' (Lose It All),Naughty Boy,2016,139,85,32,-6,48,8,213,1,8,69,tropical house
2534,Chained To The Rhythm,Katy Perry,2017,190,80,45,-5,20,47,238,8,17,72,dance pop
2535,I Want You To Know,Zedd,2015,130,85,58,-3,14,37,240,1,6,68,complextro
2536,L.A.LOVE (la la),Fergie,2015,202,39,48,-8,26,27,193,2,9,0,dance pop
2537,OMG (feat. will.i.am),Usher,2010,130,75,78,-6,36,33,269,20,3,72,atl hip hop
2538,A Little Party Never Killed Nobody (All We Got),Fergie,2013,130,62,76,-6,9,52,241,1,18,65,dance pop
2539,24K Magic,Bruno Mars,2017,107,80,82,-4,15,63,226,3,8,69,pop
2540,Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta,2014,192,77,35,-4,12,4,191,6,5,61,dance pop
2541,All I Ask,Adele,2016,142,28,59,-5,15,34,272,88,3,71,british soul
2542,Don't,Ed Sheeran,2015,95,61,81,-7,64,85,220,1,7,74,pop
2543,Love Incredible (feat. Camila Cabello),Cashmere Cat,2017,167,50,37,-9,20,21,180,6,12,59,downtempo
2544,Love Incredible (feat. Camila Cabello),Cashmere Cat,2017,167,50,37,-9,20,21,180,6,12,59,downtempo
2545,How Do You Sleep?,Sam Smith,2019,111,68,48,-5,8,35,202,15,9,93,pop
2546,Alive,Sia,2015,100,76,51,-4,11,44,264,25,5,61,australian dance
2547,In My Blood,Shawn Mendes,2018,140,71,62,-7,13,49,211,6,7,83,canadian pop
2548,Just Give Me a Reason (feat. Nate Ruess),P!nk,2013,95,55,78,-7,13,44,243,35,5,81,dance pop
2549,LIKE I WOULD,ZAYN,2016,113,83,56,-6,26,23,192,2,11,65,dance pop
2550,Body Say,Demi Lovato,2016,87,74,63,-5,28,26,194,0,4,65,dance pop
2551,Perfect Illusion,Lady Gaga,2016,125,86,61,-5,36,66,182,0,4,67,dance pop
2552,Señorita,Shawn Mendes,2019,117,54,76,-6,9,75,191,4,3,95,canadian pop
2553,Happier,Marshmello,2019,100,79,69,-3,17,67,214,19,5,90,brostep
2554,Words as Weapons,Birdy,2014,120,35,53,-9,14,19,239,28,3,44,neo mellow
2555,Mr. Put It Down,Ricky Martin,2015,128,78,80,-6,4,83,196,1,18,42,dance pop
2556,Malibu,Miley Cyrus,2017,140,78,57,-6,8,34,232,8,6,78,dance pop
2557,Paradise,Coldplay,2012,140,59,45,-7,8,20,279,5,3,79,permanent wave
2558,Champagne Problems,Nick Jonas,2016,108,78,73,-5,9,64,193,0,13,50,dance pop
2559,Mi Gente (feat. Beyoncé),J Balvin,2018,105,72,76,-6,23,47,210,2,8,68,latin
2560,Happier,Marshmello,2019,100,79,69,-3,17,67,214,19,5,90,brostep
2561,We R Who We R,Kesha,2011,120,82,74,-5,12,65,205,1,4,72,dance pop
2562,I Knew You Were Trouble.,Taylor Swift,2012,77,47,62,-7,3,68,220,0,4,77,pop
2563,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017,102,76,72,-4,18,74,251,41,5,78,dance pop
2564,Whataya Want from Me,Adam Lambert,2010,186,68,44,-5,6,45,227,1,5,66,australian pop
2565,My House,Flo Rida,2015,94,70,69,-5,13,74,192,2,5,77,dance pop
2566,Time of Our Lives,Pitbull,2015,124,80,72,-6,69,72,229,9,6,45,dance pop
2567,Supplies,Justin Timberlake,2018,120,55,79,-7,13,23,226,1,5,57,dance pop
2568,American Oxygen,Rihanna,2015,78,75,39,-6,33,48,320,5,9,61,barbadian pop
2569,Perfect Illusion,Lady Gaga,2016,125,86,61,-5,36,66,182,0,4,67,dance pop
2570,Slow Hands,Niall Horan,2017,86,42,74,-7,6,85,188,1,5,64,dance pop
2571,FourFiveSeconds,Rihanna,2015,206,27,58,-6,13,35,188,88,5,80,barbadian pop
2572,Toothbrush,DNCE,2016,105,79,55,-6,47,82,232,12,13,72,dance pop
2573,All I Ask,Adele,2017,142,28,59,-5,15,34,272,88,3,71,british soul
2574,Die Young,Kesha,2013,128,70,71,-5,22,80,212,0,5,75,dance pop
2575,Side To Side,Ariana Grande,2017,159,74,65,-6,24,61,226,5,23,80,dance pop
2576,Truth Hurts,Lizzo,2019,158,62,72,-3,12,41,173,11,11,90,escape room
2577,Cannonball,Lea Michele,2014,92,82,56,-3,19,57,215,2,5,37,hollywood
2578,Moment 4 Life - Album Version (Edited),Nicki Minaj,2011,130,88,50,-4,22,37,279,39,38,28,dance pop
2579,Dynamite,Taio Cruz,2010,120,78,75,-4,4,82,203,0,9,77,dance pop
2580,Elastic Heart,Sia,2015,130,79,42,-5,15,50,257,1,5,73,australian dance
2581,Get Low (with Liam Payne),Zedd,2017,108,93,72,-4,5,54,205,3,5,66,complextro
2582,Walk On Water (feat. Beyoncé),Eminem,2018,82,44,48,-10,64,62,304,81,24,65,detroit hip hop
2583,Youth (feat. Khalid),Shawn Mendes,2018,100,60,53,-7,13,32,191,56,12,75,canadian pop
2584,Wolves,Selena Gomez,2018,125,80,72,-5,20,31,198,12,4,83,dance pop
2585,There's Nothing Holdin' Me Back,Shawn Mendes,2018,122,81,87,-4,8,97,199,38,6,84,canadian pop
2586,3,Britney Spears,2010,135,71,70,-2,14,79,213,5,5,62,dance pop
2587,Made In The USA,Demi Lovato,2013,87,86,58,-4,32,59,196,0,4,60,dance pop
2588,My Way,Calvin Harris,2017,120,91,82,-3,16,54,219,9,4,78,dance pop
2589,Wherever I Go,OneRepublic,2016,100,69,55,-6,27,35,170,9,4,66,dance pop
2590,Some Nights,fun.,2012,108,74,67,-7,9,39,277,2,5,72,baroque pop
2591,Nervous,Shawn Mendes,2018,122,62,84,-7,13,74,164,4,8,71,canadian pop
2592,Out Of The Woods,Taylor Swift,2016,92,84,55,-7,34,34,236,0,4,66,pop
2593,Starships,Nicki Minaj,2012,125,72,75,-2,25,75,211,14,8,73,dance pop
2594,It Will Rain,Bruno Mars,2012,150,84,58,-7,8,48,258,34,5,38,pop
2595,Cold Water (feat. Justin Bieber & MØ),Major Lazer,2016,93,80,61,-5,16,50,185,7,4,73,dance pop
2596,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,2013,146,93,63,-4,10,88,258,3,8,70,dance pop
2597,Rich Love (with Seeb),OneRepublic,2017,105,87,40,-4,36,47,201,17,31,70,dance pop
2598,Love The Way You Lie,Eminem,2010,87,93,75,-5,52,64,263,24,23,82,detroit hip hop
2599,Love Never Felt So Good,Michael Jackson,2014,118,72,78,-6,7,71,246,13,4,71,pop
2600,Glad You Came,The Wanted,2012,127,85,72,-4,11,45,198,3,6,72,boy band
2601,Give Me Everything,Pitbull,2011,129,94,67,-3,30,53,252,19,16,79,dance pop
2602,Reality - Radio Edit,Lost Frequencies,2015,122,70,71,-8,7,60,159,2,3,61,belgian edm
2603,Rather Be (feat. Jess Glynne),Clean Bandit,2015,121,59,80,-7,19,55,228,16,4,73,dance pop
2604,Capital Letters,Hailee Steinfeld,2018,100,81,66,-6,5,46,219,3,8,76,dance pop
2605,Blah Blah Blah (feat. 3OH!3),Kesha,2010,120,84,75,-3,42,52,172,8,12,62,dance pop
2606,This Is What You Came For,Calvin Harris,2016,124,93,63,-3,15,47,222,20,3,80,dance pop
2607,Thinking out Loud,Ed Sheeran,2015,79,45,78,-6,18,59,282,47,3,84,pop
2608,Written in the Stars (feat. Eric Turner),Tinie Tempah,2010,91,95,64,-4,18,57,220,6,7,52,dance pop
2609,Cold Water (feat. Justin Bieber & MØ),Major Lazer,2016,93,80,61,-5,16,50,185,7,4,73,dance pop
2610,Take Me To Church,Hozier,2015,129,66,57,-5,12,44,242,63,5,81,irish singer-songwriter
2611,If I Lose Myself - Alesso vs OneRepublic,OneRepublic,2013,126,75,52,-6,14,16,215,26,4,69,dance pop
2612,Telephone,Lady Gaga,2010,122,83,83,-6,11,71,221,1,4,73,dance pop
2613,Sorry Not Sorry,Demi Lovato,2018,144,64,71,-7,26,89,204,2,23,81,dance pop
2614,Just the Way You Are,Bruno Mars,2010,109,84,64,-5,9,43,221,2,4,78,pop
2615,Me Too,Meghan Trainor,2016,124,69,93,-6,48,84,181,10,10,73,dance pop
2616,Remember I Told You,Nick Jonas,2017,113,53,68,-6,4,84,202,14,28,53,dance pop
2617,I Wanna Go,Britney Spears,2011,130,55,70,-7,33,79,210,0,4,64,dance pop
2618,First Time,Kygo,2017,90,59,63,-7,10,68,194,20,11,71,edm
2619,Young Girls,Bruno Mars,2014,126,75,56,-5,21,50,229,46,3,67,pop
2620,Till the World Ends,Britney Spears,2011,132,71,69,-6,20,45,238,2,7,65,dance pop
2621,Havana (feat. Young Thug),Camila Cabello,2018,105,52,77,-4,13,39,217,18,3,85,dance pop
2622,Sign of the Times,Harry Styles,2018,120,57,52,-5,11,21,341,3,3,72,dance pop
2623,Right Now - Dyro Radio Edit,Rihanna,2013,130,74,53,-6,24,45,186,0,4,42,barbadian pop
2624,For You (With Rita Ora),Liam Payne,2018,113,80,54,-5,42,18,243,2,3,67,dance pop
2625,Cold Water (feat. Justin Bieber & MØ),Major Lazer,2016,93,80,61,-5,16,50,185,7,4,73,dance pop
2626,Let Me,ZAYN,2018,168,57,46,-6,10,19,185,24,5,72,dance pop
2627,Someone You Loved,Lewis Capaldi,2019,110,41,50,-6,11,45,182,75,3,96,pop
2628,Hello,Martin Solveig,2010,128,98,67,-3,10,45,191,1,3,0,big room
2629,A Sky Full of Stars,Coldplay,2014,125,68,55,-6,21,16,268,1,3,60,permanent wave
2630,#thatPOWER,will.i.am,2013,128,61,80,-6,7,40,280,0,6,68,dance pop
2631,Like A G6,Far East Movement,2010,125,84,44,-8,12,78,217,1,45,72,dance pop
2632,Fancy,Iggy Azalea,2014,95,72,91,-4,5,38,200,9,7,70,australian hip hop
2633,There's Nothing Holdin' Me Back,Shawn Mendes,2018,122,81,87,-4,8,97,199,38,6,84,canadian pop
2634,Miss You (with Major Lazer & Tory Lanez),Cashmere Cat,2018,100,64,75,-5,11,45,186,25,9,64,downtempo
2635,Paradise,Coldplay,2012,140,59,45,-7,8,20,279,5,3,79,permanent wave
2636,Super Bass,Nicki Minaj,2011,127,74,77,-7,40,59,201,6,23,38,dance pop
2637,Into You,Ariana Grande,2016,108,73,62,-6,14,37,244,2,11,80,dance pop
2638,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,2016,163,70,63,-6,11,50,215,1,15,71,dance pop
2639,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,2013,116,81,79,-9,10,86,248,4,4,77,electro
2640,Walk On Water (feat. Beyoncé),Eminem,2018,82,44,48,-10,64,62,304,81,24,65,detroit hip hop
2641,Your Love Is My Drug,Kesha,2010,120,61,83,-4,9,76,187,1,10,69,dance pop
2642,You And I,Lady Gaga,2011,127,70,52,-5,9,52,307,9,5,64,dance pop
2643,Sexy Bitch (feat. Akon),David Guetta,2010,130,63,81,-5,13,80,196,8,5,61,dance pop
2644,Start,John Legend,2016,110,4,52,-15,9,26,310,99,4,47,neo mellow
2645,Shallow - Radio Edit,Lady Gaga,2018,96,33,57,-7,9,28,217,42,3,80,dance pop
2646,Loca,Shakira,2010,112,87,80,-4,9,85,193,19,7,56,colombian pop
2647,Fireball (feat. John Ryan),Pitbull,2015,123,94,69,-5,5,79,235,9,6,67,dance pop
2648,Blah Blah Blah (feat. 3OH!3),Kesha,2010,120,84,75,-3,42,52,172,8,12,62,dance pop
2649,You And I,Lady Gaga,2011,127,70,52,-5,9,52,307,9,5,64,dance pop
2650,Look What You Made Me Do,Taylor Swift,2018,128,71,77,-6,13,51,212,20,12,75,pop
2651,Lust for Life (with The Weeknd),Lana Del Rey,2017,100,67,51,-9,36,27,264,58,6,54,art pop
2652,Nervous,Shawn Mendes,2018,122,62,84,-7,13,74,164,4,8,71,canadian pop
2653,"Let It Go - From ""Frozen / Single Version",Demi Lovato,2014,140,66,50,-6,27,25,226,3,4,63,dance pop
2654,Rock N Roll,Avril Lavigne,2013,184,96,47,-3,34,67,207,1,13,61,canadian pop
2655,People Like Us,Kelly Clarkson,2013,128,79,60,-5,36,61,259,4,4,45,dance pop
2656,Domino,Jessie J,2012,127,55,76,-5,4,78,232,1,3,69,australian pop
2657,Clarity,Zedd,2013,128,78,51,-3,7,18,271,4,7,75,complextro
2658,Came Here for Love,Sigala,2017,125,87,71,-3,12,72,203,3,4,70,dance pop
2659,Take It Off,Kesha,2010,125,68,73,-5,9,74,215,0,3,66,dance pop
2660,Rich Love (with Seeb),OneRepublic,2017,105,87,40,-4,36,47,201,17,31,70,dance pop
2661,Wake Me Up,Avicii,2013,124,78,53,-6,16,64,247,0,5,85,big room
2662,...Ready For It? - BloodPop® Remix,Taylor Swift,2018,160,84,58,-5,10,50,190,13,22,52,pop
2663,Sick Boy,The Chainsmokers,2018,90,58,66,-8,12,45,193,11,5,76,electropop
2664,For You (With Rita Ora),Liam Payne,2018,113,80,54,-5,42,18,243,2,3,67,dance pop
2665,Secrets,OneRepublic,2010,148,76,52,-6,12,38,225,7,4,77,dance pop
2666,Drunk in Love,Beyoncé,2014,140,62,59,-7,18,40,323,1,5,52,dance pop
2667,Wide Awake,Katy Perry,2012,160,68,51,-5,39,57,221,7,4,68,dance pop
2668,Truth Hurts,Lizzo,2019,158,62,72,-3,12,41,173,11,11,90,escape room
2669,Finally Found You,Enrique Iglesias,2013,128,88,62,-5,35,66,221,1,10,52,dance pop
2670,Work,Rihanna,2016,92,53,73,-6,9,56,219,8,9,78,barbadian pop
2671,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,2019,98,62,86,-6,9,67,204,15,8,92,pop
2672,Live It Up,Jennifer Lopez,2013,128,73,69,-5,33,65,244,1,17,57,dance pop
2673,Tequila,Dan + Shay,2018,86,59,47,-6,13,50,196,3,3,76,contemporary country
2674,Me Too,Meghan Trainor,2016,124,69,93,-6,48,84,181,10,10,73,dance pop
2675,Turning Page,Sleeping At Last,2011,125,38,30,-8,11,19,255,91,3,46,acoustic pop
2676,Bad Romance,Lady Gaga,2010,119,92,70,-4,8,71,295,0,4,79,dance pop
2677,Walks Like Rihanna,The Wanted,2013,126,82,56,-3,10,43,202,1,6,62,boy band
2678,Company,Justin Bieber,2015,95,80,59,-5,8,43,208,13,6,72,canadian pop
2679,We Are Young (feat. Janelle Monáe),fun.,2012,184,64,38,-6,8,74,251,2,8,63,baroque pop
2680,Work,Rihanna,2016,92,53,73,-6,9,56,219,8,9,78,barbadian pop
2681,I Dont Wanna Live Forever (Fifty Shades Darker),ZAYN,2017,118,45,74,-8,33,9,245,6,6,78,dance pop
2682,I Know What You Did Last Summer,Shawn Mendes,2016,114,77,68,-5,16,72,224,11,10,57,canadian pop
2683,Came Here for Love,Sigala,2017,125,87,71,-3,12,72,203,3,4,70,dance pop
2684,Die Young,Kesha,2013,128,70,71,-5,22,80,212,0,5,75,dance pop
2685,Mama,Jonas Blue,2017,104,79,74,-4,5,57,184,10,4,75,dance pop
2686,Set Fire to the Rain,Adele,2012,108,68,61,-4,13,47,242,0,3,76,british soul
2687,Company,Justin Bieber,2016,95,80,59,-5,8,43,208,13,6,72,canadian pop
2688,If I Had You,Adam Lambert,2010,131,91,65,-4,37,79,228,1,11,59,australian pop
2689,Eenie Meenie,Sean Kingston,2010,121,61,72,-4,11,83,202,5,3,71,dance pop
2690,Only Human,Jonas Brothers,2019,94,50,80,-6,6,87,183,11,7,87,boy band
2691,Supernova,Ansel Elgort,2018,140,62,77,-5,21,68,191,6,10,72,dance pop
2692,Rolling in the Deep,Adele,2011,105,76,73,-5,5,52,228,13,3,76,british soul
2693,Only Love Can Hurt Like This,Paloma Faith,2015,91,89,57,-5,33,31,233,10,8,69,british soul
2694,Been You,Justin Bieber,2015,113,78,74,-6,32,86,199,2,7,60,canadian pop
2695,The Heart Wants What It Wants,Selena Gomez,2015,83,79,62,-5,14,62,227,5,4,72,dance pop
2696,Mr. Put It Down,Ricky Martin,2015,128,78,80,-6,4,83,196,1,18,42,dance pop
2697,Silence,Marshmello,2018,142,76,52,-3,17,29,181,26,9,82,brostep
2698,Take Back the Night,Justin Timberlake,2013,107,66,59,-5,64,33,353,4,16,54,dance pop
2699,Latch,Disclosure,2014,122,73,50,-5,9,52,256,2,17,72,house
2700,It's On Again - Main Soundtrack,Alicia Keys,2014,110,54,64,-9,25,53,230,10,11,30,hip pop
2701,Call You Mine,The Chainsmokers,2019,104,70,59,-6,34,52,218,20,3,81,electropop
2702,Yeah 3x,Chris Brown,2011,130,88,71,-3,9,70,242,0,4,69,dance pop
2703,Never Be the Same - Radio Edit,Camila Cabello,2018,130,69,63,-4,12,25,227,16,9,57,dance pop
2704,Swish Swish,Katy Perry,2017,120,71,84,-5,10,57,243,2,4,73,dance pop
2705,FourFiveSeconds,Rihanna,2015,206,27,58,-6,13,35,188,88,5,80,barbadian pop
2706,Get Low (with Liam Payne),Zedd,2017,108,93,72,-4,5,54,205,3,5,66,complextro
2707,Million Years Ago,Adele,2016,0,0,0,-60,0,0,227,0,0,0,british soul
2708,Chained To The Rhythm,Katy Perry,2017,190,80,45,-5,20,47,238,8,17,72,dance pop
2709,We Are Here,Alicia Keys,2015,93,67,64,-6,8,8,285,43,4,49,hip pop
2710,Happier,Marshmello,2019,100,79,69,-3,17,67,214,19,5,90,brostep
2711,Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,2010,164,41,29,-5,13,7,264,83,3,61,dance pop
2712,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,2016,102,71,66,-7,8,69,198,4,11,78,dance pop
2713,Cooler Than Me - Single Mix,Mike Posner,2010,130,82,77,-5,70,63,213,18,5,73,dance pop
2714,Wait,Maroon 5,2018,126,60,66,-5,11,45,191,10,6,67,pop
2715,Freak,Kelly Rowland,2013,104,78,65,-5,12,45,274,13,6,28,atl hip hop
2716,Here,Alessia Cara,2015,120,82,38,-4,8,33,199,8,10,68,canadian contemporary r&b
2717,BO$$,Fifth Harmony,2015,103,87,81,-5,5,74,171,1,11,66,dance pop
2718,Sorry Not Sorry,Demi Lovato,2018,144,64,71,-7,26,89,204,2,23,81,dance pop
2719,Jar of Hearts,Christina Perri,2011,75,35,35,-6,12,9,247,73,3,50,dance pop
2720,Swish Swish,Katy Perry,2017,120,71,84,-5,10,57,243,2,4,73,dance pop
2721,Hands To Myself,Selena Gomez,2016,111,50,81,-7,34,47,201,1,12,71,dance pop
2722,Kiss You,One Direction,2013,90,93,63,-3,32,91,183,2,6,73,boy band
2723,Rich Boy,Galantis,2017,110,90,74,-2,8,65,184,7,5,55,big room
2724,Yesterday (feat. Bebe Rexha),David Guetta,2015,128,78,57,-4,33,28,243,2,3,46,dance pop
2725,Dusk Till Dawn - Radio Edit,ZAYN,2018,180,44,26,-7,11,10,239,10,4,83,dance pop
2726,Sugar,Maroon 5,2015,120,79,75,-7,9,88,235,6,3,81,pop
2727,Call Me Maybe,Carly Rae Jepsen,2012,120,58,78,-7,11,66,193,1,4,76,canadian pop
2728,Sexy And I Know It,LMFAO,2011,130,86,71,-4,19,80,199,10,32,67,dance pop
