,title,artist,year,bpm,energy,danceability,dB,liveness,valence,duration,acousticness,speechiness,popularity,genre
221,My First Kiss - feat. Ke$ha,3OH!3,2010,138,89,68,-4,36,83,192,1,8,62,dance pop
222,All of Me,John Legend,2014,120,26,42,-7,13,33,270,92,3,86,neo mellow
223,Bon appétit,Katy Perry,2017,106,79,80,-6,22,52,228,13,6,68,dance pop
224,Don't Let Me Down,The Chainsmokers,2016,160,87,53,-5,14,42,208,16,17,81,electropop
225,A L I E N S,Coldplay,2017,148,88,43,-5,21,25,282,0,4,41,permanent wave
226,Beautiful Birds (feat. Birdy),Passenger,2016,86,17,39,-13,11,14,214,91,3,36,folk-pop
227,"Ooh La La (from ""The Smurfs 2"")",Britney Spears,2013,128,57,69,-5,11,73,257,2,5,45,dance pop
228,Behind Your Back,Nelly Furtado,2016,98,47,80,-10,7,69,228,25,4,18,canadian latin
229,Truth Hurts,Lizzo,2019,158,62,72,-3,12,41,173,11,11,90,escape room
230,Next To Me,Emeli Sandé,2013,95,80,67,-5,11,35,197,9,4,60,dance pop
231,Can't Remember to Forget You (feat. Rihanna),Shakira,2014,138,81,69,-4,14,82,207,12,7,62,colombian pop
232,Team,Lorde,2014,100,58,69,-7,31,42,193,17,9,73,art pop
233,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,2013,116,81,79,-9,10,86,248,4,4,77,electro
234,We Are Never Ever Getting Back Together,Taylor Swift,2013,86,68,63,-6,12,75,193,1,9,75,pop
235,No Guidance (feat. Drake),Chris Brown,2019,93,45,70,-7,16,14,261,12,15,81,dance pop
236,If I Lose Myself - Alesso vs OneRepublic,OneRepublic,2013,126,75,52,-6,14,16,215,26,4,69,dance pop
237,Castle Walls (feat. Christina Aguilera),T.I.,2010,80,86,45,-5,26,58,329,7,39,49,atl hip hop
238,Thinking out Loud,Ed Sheeran,2015,79,45,78,-6,18,59,282,47,3,84,pop
239,Love Never Felt So Good,Michael Jackson,2014,118,72,78,-6,7,71,246,13,4,71,pop
240,Scars To Your Beautiful,Alessia Cara,2016,97,74,57,-6,11,45,230,3,13,79,canadian contemporary r&b
241,Super Bass,Nicki Minaj,2011,127,74,77,-7,40,59,201,6,23,38,dance pop
242,American Oxygen,Rihanna,2015,78,75,39,-6,33,48,320,5,9,61,barbadian pop
243,Friends (with BloodPop®),Justin Bieber,2018,105,73,74,-5,30,62,189,0,4,77,canadian pop
244,24K Magic,Bruno Mars,2017,107,80,82,-4,15,63,226,3,8,69,pop
245,Shallow - Radio Edit,Lady Gaga,2018,96,33,57,-7,9,28,217,42,3,80,dance pop
